job_url,source,title,company,location,description,seniority,tags,raw_source_file
https://energyjobsearch.com/jobs/other/1309803,energyjobsearch,Assembler,ABB,"New Berlin, Wisconsin, United States","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv
https://energyjobsearch.com/jobs/other/1309470,energyjobsearch,Assembler,ABB,"New Berlin, Wisconsin, United States","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv
https://energyjobsearch.com/jobs/other/1309473,energyjobsearch,Assembler,ABB,"New Berlin, Wisconsin, United States","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv
https://energyjobsearch.com/jobs/consulting/1308842,energyjobsearch,Assistant Consultant Project Manager,AtkinsRéalis,"Manchester, England, United Kingdom","Job Description Overview Empowering projects in a complex world. Join our organisation, where we have a huge variety of projects on-the-go at any one time. So when you start this role wi...",NOT_APPLICABLE,CONSULTING | FULL_TIME,energyjobsearch_evp.csv
https://energyjobsearch.com/jobs/consulting/1307894,energyjobsearch,Assistant Consultant Project Manager,AtkinsRéalis,"Manchester, England, United Kingdom","Job Description Overview Empowering projects in a complex world. Join our organisation, where we have a huge variety of projects on-the-go at any one time. So when you start this role wi...",NOT_APPLICABLE,CONSULTING | FULL_TIME,energyjobsearch_evp.csv
https://energyjobsearch.com/jobs/other/1287621,energyjobsearch,Associate Mechanical Assembler - Senior Mechanical Assembler,Halliburton,"Singapore, Singapore","We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themsel...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv
https://energyjobsearch.com/jobs/other/1286924,energyjobsearch,Associate Mechanical Assembler - Senior Mechanical Assembler,Halliburton,"Singapore, Singapore","We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themsel...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv
https://energyjobsearch.com/jobs/other/1286933,energyjobsearch,Associate Mechanical Assembler - Senior Mechanical Assembler,Halliburton,"Singapore, Singapore","We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themsel...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv
https://energyjobsearch.com/jobs/other/1286599,energyjobsearch,Associate Mechanical Assembler - Senior Mechanical Assembler,Halliburton,"Singapore, Singapore","We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themsel...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv
https://energyjobsearch.com/jobs/engineering/1309944,energyjobsearch,Associate Scientist in Electrical Power Systems,ABB,"Vasteras, Vastmanland County, Sweden","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,ENGINEERING | FULL_TIME,energyjobsearch_evp.csv
https://energyjobsearch.com/jobs/engineering/1309877,energyjobsearch,Associate Scientist in Electrical Power Systems,ABB,"Vasteras, Vastmanland County, Sweden","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,ENGINEERING | FULL_TIME,energyjobsearch_evp.csv
https://energyjobsearch.com/jobs/other/1308234,energyjobsearch,Brazil - RJ - Macaé - Well Engineer,Halliburton,"Macaé, Rio de Janeiro, Brazil","We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themsel...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv
