job_url,source,title,company,location,description,seniority,tags,raw_source_file,seniority_inferred,expert_role,expert_role_score,expert_role_reason,description_word_count
https://www.euroclimatejobs.com/job_display/287217/Project_Development_Manager_Metlen_nergy_Metals_Milan_Italy,euroclimatejobs,Project Development Manager,Metlen Εnergy & Metals,"Milan, Italy","Secure land rights: Manage the process of securing land rights for wind, PV, and BESS projects to allow for planning, permitting, construction, operation, and maintenance.  Provide assistance to the Head of Development Manager in the management in due",EXECUTIVE,Business and Finance | Environment | Project Manager | Renewable Energy,euroclimatejobs_evp.csv,SENIOR,normative,1,permitting,38
https://www.euroclimatejobs.com/job_display/288553/Quality_Manager_BESS_Energy_Products_EMEA_Tesla_Amsterdam_Netherlands,euroclimatejobs,Quality Manager BESS - Energy Products EMEA,Tesla,"Amsterdam, Netherlands","As a Quality Engineer for Tesla Energy Products EMEA, you’ll ensure our Megapack installations meet the highest standards of reliability, safety, and compliance, from large utility scale projects in the UK to solar co-located projects in Southern Europe.",SENIOR,Energy Engineer | Renewable Energy | Solar Energy,euroclimatejobs_evp.csv,SENIOR,normative,2,"compliance, standards",38
https://www.euroclimatejobs.com/job_display/287160/Senior_Expert_Energy_Solutions_Telelink_Infra_Services_Bulgaria,euroclimatejobs,"Senior Expert, Energy Solutions",Telelink Infra Services,Bulgaria,"The Senior Expert, Energy Solutions is responsible for the development, management, and implementation of advanced technological and infrastructure solutions in the fields of renewable energy, energy efficiency, and smart grids. This role ensures the successful execution of energy projects—on time, within budget, and in accordance with safety and quality standards. The position also involves leadership and coordination of Site Managers and technical teams to achieve optimal project delivery.",SENIOR,Energy Engineer | Renewable Energy | Solar Energy,euroclimatejobs_evp.csv,SENIOR,normative,1,standards,68
https://rejobs.org/en/renewable-energy-jobs/102427-manager-of-community-energy-planning-and-policy-a-climate-to-thrive-southwest-harbor-maine-united-states,rejobs,Manager of Community Energy Planning and Policy,A Climate to Thrive,"Southwest Harbor, Maine, United States","Join A Climate to Thrive as Manager of Community Energy Planning in Southwest Harbor, Maine. Lead renewable energy projects and policy initiatives while fostering community engagement. Enjoy unlimited paid time off and a supportive work culture.",EXECUTIVE,Community Energy | Energy Access | Demand Response | Energy Policy | Stakeholder Management,rejobs_evp.csv,MID_LEVEL,normative,5,"community engagement, policy",36
https://rejobs.org/en/renewable-energy-jobs/110730-associate-general-counsel-ferc-compliance-invenergy,rejobs,"Associate General Counsel, FERC Compliance",Invenergy,"Chicago, United States","Join Invenergy as Associate General Counsel, FERC Compliance in Chicago or Washington, D.C. Provide legal advice on FERC regulatory matters and support compliance teams. Enjoy a competitive salary and bonus opportunities.",MID_LEVEL,Energy Economics | Energy Governance | Energy Policy | Legal Services | Regulatory Compliance,rejobs_evp.csv,MID_LEVEL,normative,8,"compliance, governance, policy, regulatory",31
https://rejobs.org/en/renewable-energy-jobs/110142-director-project-development-commonwealth-fusion-systems,rejobs,"Director, Project Development",Commonwealth Fusion Systems,"Devens, Massachusetts, United States","Join Commonwealth Fusion Systems as Director, Project Development in Massachusetts or Virginia. Lead the development of the first commercial fusion power plants. Enjoy competitive salary, equity, and flexible vacation.",EXECUTIVE,Environmental Management | Construction | Energy Policy | Stakeholder Management | Permitting | Project Management,rejobs_evp.csv,SENIOR,normative,2,"permitting, policy",29
https://rejobs.org/en/renewable-energy-jobs/102437-policy-officersenior-policy-officer-for-industrial-decarbonisation-mwd-european-environmental-bureau,rejobs,Policy Officer/Senior Policy Officer for Industrial Decarbonisation (m/w/d),European Environmental Bureau,"Brussels, Belgium","Join the European Environmental Bureau as a Policy Officer/Senior Policy Officer for Industrial Decarbonisation in Brussels. Advocate for sustainable industry practices and work on key policies like the Carbon Border Adjustment Mechanism. Enjoy a competitive salary, flexible teleworking options, and a dynamic work environment.",EXECUTIVE,Clean Energy Solutions | Carbon Accounting | Energy Policy | Environmental Impact Assessment | Advocacy & Policy,rejobs_evp.csv,SENIOR,normative,5,"advocacy, policy",44
https://rejobs.org/en/renewable-energy-jobs/102171-associate-director-or-director-technical-services-nyserda,rejobs,"Associate Director or Director, Technical Services",NYSERDA,"New York, NY, United States",Join NYSERDA as Associate Director or Director of Technical Services in New York. Lead building decarbonization efforts and engage with stakeholders to enhance energy efficiency. Enjoy a competitive salary and excellent benefits.,EXECUTIVE,Clean Energy Solutions | Building Energy Performance | Policy and Regulatory Analysis | Stakeholder Management | Project Management,rejobs_evp.csv,SENIOR,normative,2,"policy, regulatory",32
https://rejobs.org/en/renewable-energy-jobs/101399-senior-permitting-and-regulatory-officer-crossboundary-energy,rejobs,Senior Permitting and Regulatory Officer,CrossBoundary Energy,"Kinshasa, Democratic Republic of the Congo","Join CrossBoundary Energy as a Senior Permitting and Regulatory Officer in Kinshasa or Lubumbashi, DRC. Lead permitting for renewable energy projects and engage with local authorities. Enjoy a dynamic team environment focused on impactful change.",SENIOR,Energy Policy | Environmental Impact Assessment | Permitting | Regulatory Compliance,rejobs_evp.csv,SENIOR,normative,10,"compliance, permitting, policy, regulatory",35
https://energyjobsearch.com/jobs/other/1309703,energyjobsearch,PP08-ESG-Svc Supv I-Pipeline/Process Svc,Halliburton,"Al Khobar, Saudi Arabia","We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themsel...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR,normative,2,esg,35
