title,description,employer,location,job_url,tags,featured
Offshore Service Technician,Join Boston Energy as an Offshore Service Technician in the Netherlands.,Boston Energy,The Netherlands,https://rejobs.org/en/renewable-energy-jobs/105718-offshore-service-technician-boston-energy-ltd-netherlands,Offshore Wind Energy | Blade Maintenance | Turbine Operations | Wind O&M,True
Senior Project Manager and Energy Expert - Africa,"Join TTA as a Senior Project Manager in Barcelona, Spain, focusing on renewable energy projects in Africa.",Trama TecnoAmbiental,"Barcelona, Spain",https://rejobs.org/en/renewable-energy-jobs/104097-senior-project-manager-and-energy-expert-africa-trama-tecnoambiental-tta-barcelona-spain,Energy Access | Project Management | Business Development | Feasibility Studies,True
Manager of Community Energy Planning and Policy,"Join A Climate to Thrive as Manager of Community Energy Planning in Southwest Harbor, Maine. Lead renewable energy projects and policy initiatives while fostering community engagement. Enjoy unlimited paid time off and a supportive work culture.",A Climate to Thrive,"Southwest Harbor, Maine, United States",https://rejobs.org/en/renewable-energy-jobs/102427-manager-of-community-energy-planning-and-policy-a-climate-to-thrive-southwest-harbor-maine-united-states,Community Energy | Energy Access | Demand Response | Energy Policy | Stakeholder Management,True
Trusted Advisor,"Trusted Advisor at STX Group in Amsterdam, leading renewable energy PPAs.",STX Group,"Amsterdam, the Netherlands",https://rejobs.org/en/renewable-energy-jobs/113446-trusted-advisor-stx-group,Corporate Strategy | Energy Policy | Energy Trading | Power Purchase Agreement,False
Manager,Manager at Vandebron in Amsterdam driving green energy growth.,Vandebron,"Amsterdam, the Netherlands",https://rejobs.org/en/renewable-energy-jobs/113449-manager-vandebron,Business Development | Clean Energy Innovation,False
"Business, Commercial & Strategy, NCE - Vestas Graduate Programme (Ingenieur/in - Erneuerbare Energien)","Join Vestas Graduate Programme in Hamburg, Germany.",Vestas,"Hamburg, Germany",https://rejobs.org/en/renewable-energy-jobs/113396-business-commercial-strategy-nce-vestas-graduate-programme-ingenieurin-erneuerbare-energien-vestas,Business Development | Energy Policy | Project Management | Talent Acquisition & Management,False
Projektmanager Klimaschutzprojekte (Klimaschutzmanager/in),Project Manager at atmosfair in Berlin driving climate protection projects.,atmosfair gGmbH,"Berlin, Germany",https://rejobs.org/en/renewable-energy-jobs/113418-projektmanager-klimaschutzprojekte-klimaschutzmanagerin-atmosfair-ggmbh,Climate Adaptation | Community Energy | Energy Access | Energy Justice | Environmental Management | Project Management,False
Sales Consultant PPA,Sales Consultant PPA at AFS Energy in Amsterdam.,AFS Energy,"Amsterdam, the Netherlands",https://rejobs.org/en/renewable-energy-jobs/113465-sales-consultant-ppa-afs-energy,Energy Trading | Market Analysis | Power Purchase Agreement,False
Senior Electrical Engineer,Senior Electrical Engineer at EDF Energy in London.,EDF Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112661-senior-electrical-engineer-edf-energy,High Voltage | Project Management | Electrical Engineering,False
Director - Electrical Engineering Systems,"Lead electrical systems at Thea Energy in Kearny, NJ.",Thea Energy,"Kearny, New Jersey, United States",https://rejobs.org/en/renewable-energy-jobs/113119-director-electrical-engineering-systems-thea-energy,Power Systems | Power Electronics | Electrical Engineering | Engineering Management,False
Senior Electrical Distribution Systems Engineer,"Senior Electrical Engineer at Thea Energy in Kearny, NJ.",Thea Energy,"Kearny, New Jersey, United States",https://rejobs.org/en/renewable-energy-jobs/113122-senior-electrical-distribution-systems-engineer-thea-energy,High Voltage | Power Systems | Electrical Engineering,False
Sustainability Consultant,"Sustainability Consultant at RINA in Genoa, Italy.",RINA,"Genoa, Italy",https://rejobs.org/en/renewable-energy-jobs/113331-sustainability-consultant-rina,Biofuels | Green Hydrogen | Net Zero | Power Purchase Agreement,False
Senior Portfolio Manager - Project Development in Renewable Energies,Senior Portfolio Manager at Encavis in Germany driving digital project development.,ENCAVIS,"Ottobrunn, Germany",https://rejobs.org/en/renewable-energy-jobs/113320-senior-portfolio-manager-project-development-in-renewable-energies-encavis,Clean Energy Innovation | Data | Portfolio Management | Project Management | Risk Management,False
Investment Associate in Renewable Energies,"Investment Associate at ENCAVIS in Hamburg, leading renewable deals.",ENCAVIS,"Hamburg, Germany",https://rejobs.org/en/renewable-energy-jobs/113332-investment-associate-in-renewable-energies-encavis,Battery Management Systems | Photovoltaics | Wind Farms | Power Purchase Agreement | Project Finance,False
Head of Market Growth,"Lead market growth at First Climate in Bad Vilbel, Germany.",First Climate,"Bad Vilbel, Germany",https://rejobs.org/en/renewable-energy-jobs/113319-head-of-market-growth-first-climate,Business Development | Energy Economics | Energy Policy | Sales and Marketing,False
Head of Origination,Head of Origination at Aurora Energy Research in Amsterdam.,Aurora Energy Research,"Amsterdam, the Netherlands",https://rejobs.org/en/renewable-energy-jobs/113324-head-of-origination-aurora-energy-research,Energy Asset Valuation | Energy Economics | Power Purchase Agreement | Project Finance | Stakeholder Management,False
Project Controls Manager,"Project Controls Manager at Scottish Power in Blantyre, Scotland.",Scottish Power,"Blantyre, Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112607-project-controls-manager-scottish-power,Energy Governance | Project Management | EPC Management | Energy Resilience | Renewable Energy Finance | Utility Management,False
Mechanical Engineering Intern,"Mechanical Engineering Intern at Antora Energy in San Jose, CA.",Antora Energy,"San Jose, California, United States",https://rejobs.org/en/renewable-energy-jobs/113092-mechanical-engineering-intern-antora-energy,Mechanical Engineering | Thermal Energy | AI for Energy | Energy Resilience | Project Management,False
Design Engineer,"Design Engineer at Hitachi Energy in Xiamen, China.",Hitachi Energy,"Xiamen, Fujian, China",https://rejobs.org/en/renewable-energy-jobs/112719-design-engineer-hitachi-energy,High Voltage | Electrical Engineering | EPC Management,False
Senior Power Generation Technical Services Specialist - Critical Infrastructure Protection,"Senior Technical Specialist at NextEra Energy in Yarmouth, US.",NextEra Energy,"Yarmouth, United States",https://rejobs.org/en/renewable-energy-jobs/112694-senior-power-generation-technical-services-specialist-critical-infrastructure-protection-nextera-energy,Cybersecurity | Network Engineering | Power Systems | Industrial Engineering | Technical Support | Project Management,False
Power Platform Developer & Backend Engineer (f/m/d),"Power Platform Developer at EnBW in Lisbon, Portugal.",EnBW Energie Baden-Württemberg,"Lisbon, Portugal",https://rejobs.org/en/renewable-energy-jobs/112638-power-platform-developer-backend-engineer-fmd-enbw-energie-baden-wurttemberg,Software Development | Digital Twin | Energy Consulting,False
"Senior Associate, AI Solutions & Analytics - Battery Storage","Senior Associate at Plus Power in US, driving AI for battery storage.",Plus Power,"Houston, Texas, United States",https://rejobs.org/en/renewable-energy-jobs/113151-senior-associate-ai-solutions-analytics-battery-storage-plus-power,Battery Management Systems | Energy Analytics | AI for Energy,False
Receiving Operator - Bulk Materials,"Receiving Operator at Enviva in Chesapeake, VA.",Enviva,"Chesapeake, Virginia, United States",https://rejobs.org/en/renewable-energy-jobs/112935-receiving-operator-bulk-materials-enviva,Bioenergy | Safety Management | Quality Assurance | Sustainable Agriculture | Operations Management | Environmental Management,False
"VP, Solutions and Technical Enablement","Lead solutions at Landis+Gyr in Alpharetta, USA.",Landis+Gyr,"Alpharetta, United States",https://rejobs.org/en/renewable-energy-jobs/112793-vp-solutions-and-technical-enablement-landisgyr,Distributed Energy Resources | Utility Management,False
"BESS Analyst (Design & Estimations)/ BESS Manager - Design, Engineering & Cost Estimation","BESS Manager at ib vogt in Gurugram, India.",ib vogt,"Gurugram, India",https://rejobs.org/en/renewable-energy-jobs/112939-bess-analyst-design-estimations-bess-manager-design-engineering-cost-estimation-ib-vogt,Battery Technology | Distributed Energy Resources | Hybrid Power Plants | Estimation,False
High Voltage Test Technician,"High Voltage Test Technician at Helion Energy in Everett, USA.",Helion Energy,"Everett, United States",https://rejobs.org/en/renewable-energy-jobs/113072-high-voltage-test-technician-helion-energy,High Voltage | Safety Management,False
Senior Finance Analyst,Senior Finance Analyst at AGL Energy in Melbourne.,AGL Energy,"Melbourne, Australia",https://rejobs.org/en/renewable-energy-jobs/112903-senior-finance-analyst-agl-energy,Performance Management | Financial Services | Energy Economics | Renewable Energy Finance,False
Azure Fullstack Developer .Net / C# (f/m/d),Azure Fullstack Developer at EnBW in Lisbon.,EnBW Energie Baden-Württemberg,"Lisbon, Portugal",https://rejobs.org/en/renewable-energy-jobs/112636-azure-fullstack-developer-net-c-fmd-enbw-energie-baden-wurttemberg,Cloud Computing | Software Development | Digital Twin | Analytics | Renewable Energy Finance,False
PhD position: stable CO₂ and CO electrolysis on copper electrodes,"PhD on copper electrolysis at TU Delft, Netherlands.",TU Delft,"Delft, the Netherlands",https://rejobs.org/en/renewable-energy-jobs/113176-phd-position-stable-co2-and-co-electrolysis-on-copper-electrodes-tu-delft,Electrolysis & Electrolyzers | Chemical Engineering | Research and Development | Energy Consulting,False
Cell Technical Leader,"Lead Li-ion cell development at Verkor in Bourbourg, France.",Verkor,"Bourbourg, France",https://rejobs.org/en/renewable-energy-jobs/112870-cell-technical-leader-verkor,Battery Technology | Lithium-Ion Batteries | Distributed Energy Resources | Power Electronics,False
"Graduate Program - Public Relations, Sustainability, Engagement & Social Legacy",Graduate Program at Transgrid in Sydney focused on sustainability.,TransGrid,"Sydney, Australia",https://rejobs.org/en/renewable-energy-jobs/113241-graduate-program-public-relations-sustainability-engagement-social-legacy-transgrid,Community Energy | Government Relations | Clean Energy Innovation | Energy Access,False
Intermediate Protection and Control Engineer,Intermediate Protection and Control Engineer at Spark Power in Calgary.,Spark Power,"Calgary, Canada",https://rejobs.org/en/renewable-energy-jobs/113218-intermediate-protection-and-control-engineer-spark-power,Electrical Engineering | EPC Management | High Voltage | Project Management | Safety Management,False
Staff Accountant,"Staff Accountant at Maas Energy Works in Redding, CA.",Maas Energy Works,"Redding, California, United States",https://rejobs.org/en/renewable-energy-jobs/113294-staff-accountant-maas-energy-works,Accounting & Finance | Energy Auditing | Energy Economics,False
Solar Appointment Setter,"Solar Appointment Setter at Sunrun in Hercules, USA.",Sunrun,"Hercules, United States",https://rejobs.org/en/renewable-energy-jobs/112679-solar-appointment-setter-sunrun,Community Solar | Photovoltaic Systems | Solar Installation | Solar O&M | Solar Resource Assessment | Energy Access,False
Wind Technician II,"Wind Technician II at EDP Renewables in Payne, Ohio.",EDP Renewables,"Payne, Ohio, United States",https://rejobs.org/en/renewable-energy-jobs/112922-wind-technician-ii-edp-renewables,Onshore Wind Energy | Turbine Operations | Wind O&M | Wind Turbine Technician | Safety Management,False
Financial Analyst - Internship,"Financial Analyst Intern at Boralex in Edinburgh, UK.",Boralex,"Edinburgh, Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/113247-financial-analyst-internship-boralex,Energy Economics | Project Finance | Energy Auditing | Financial Services,False
Tax technology & digitalization,Join EDP Renewables in Lisbon as Tax Technology & Digitalization.,EDP Renewables,"Lisbon, Portugal",https://rejobs.org/en/renewable-energy-jobs/112927-tax-technology-digitalization-edp-renewables,Analytics | Clean Energy Innovation,False
Branch Operations Coordinator,"Branch Operations Coordinator at Sunrun in Shrewsbury, MA.",Sunrun,"Shrewsbury, Massachusetts, United States",https://rejobs.org/en/renewable-energy-jobs/112676-branch-operations-coordinator-sunrun,Project Management | Operations Management | Facilities Management | Energy Access,False
Marketing Manager (12 Months Fixed Term Contract),Marketing Manager at OVO Energy in the UK.,OVO Energy,"Glasgow, Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112897-marketing-manager-12-months-fixed-term-contract-ovo-energy,Marketing and Communications | Clean Energy Innovation | Community Energy | Energy Policy,False
