job_id,title,company,location,posted,summary,job_url,tags,source
288254,Global Product Group Manager CCS,ANDRITZ,"Raaba-Grambach, Austria",Posted 9 days ago,"Identify global business opportunities and develop strategic partnerships to strengthen the market position of ANDRITZ carbon capture technologies; Expand and globalize the business organization with focus regions in Europe, North and South America;",https://www.euroclimatejobs.com/job_display/288254/Global_Product_Group_Manager_CCS_ANDRITZ_Raaba_Grambach_Austria,Business and Finance | Carbon Capture and Storage | Environment | Sales and Marketing,euroclimatejobs
288102,Commercial Project Manager,ANDRITZ,"Raaba-Grambach, Austria",Posted 13 days ago,"Full commercial responsibility for a single-line project from contract effectiveness to end of warranty (time, cost, quality), typically within EPC/EPCM project structures. Oversee contract variations, claims, cost controlling, forecasting, and reporting",https://www.euroclimatejobs.com/job_display/288102/Commercial_Project_Manager_ANDRITZ_Raaba_Grambach_Austria,Business and Finance | Carbon Capture and Storage | Hybrid | Project Manager,euroclimatejobs
287863,(Senior) Commercial Asset Manager Renewables,Uniper,"Multiple Locations, Multiple Countries",Posted 17 days ago,"Managing key project contracts (e.g., construction contracts, service agreements, leases); oversee vendor and subcontractor agreements, ensuring compliance with agreed terms. Identify, monitor, and mitigate financial and contractual risks in coordination",https://www.euroclimatejobs.com/job_display/287863/Senior_Commercial_Asset_Manager_Renewables_Uniper_Multiple_Locations_Multiple_Countries,Business and Finance | Hybrid | Renewable Energy | Solar Energy,euroclimatejobs
287233,PPA Origination Manager in Renewable Energies,Encavis,"Hamburg or Neubiberg, Germany",Posted 30 days ago,"You will structure and negotiate long-term PPAs for individual projects or project portfolios from our European pipeline. You will also prepare and coordinate PPA tender processes for projects in our pipeline, as well as handle and prepare offers for",https://www.euroclimatejobs.com/job_display/287233/PPA_Origination_Manager_in_Renewable_Energies_Encavis_Hamburg_or_Neubiberg_Germany,Business and Finance | Electricity | Hybrid | Renewable Energy,euroclimatejobs
287042,Senior Renewable Energy Consultant,Veolia,"Madrid, Spain",Posted 36 days ago,"Lead and deliver consulting assignments in renewable energy planning, project evaluation, and strategy development for public and private sector clients; Conduct technical and economic analyses of renewable energy projects and",https://www.euroclimatejobs.com/job_display/287042/Senior_Renewable_Energy_Consultant_Veolia_Madrid_Spain,Consultant | Renewable Energy,euroclimatejobs
286867,"Head of Asset Management, Green Power",Alpiq Group,"Multiple Locations, Europe, Multiple Countries",2 days left Posted 41 days ago,"You will lead a pan European organisation comprising asset managers in the various countries where Alpiq active is (CH, ES, IT, FR, Nordics and new countries with assets under development), covering various assets and technologies Wind, PV, BESS, green",https://www.euroclimatejobs.com/job_display/286867/Head_of_Asset_Management_Green_Power_Alpiq_Group_Multiple_Locations_Europe_Multiple_Countries,Business and Finance | Climate and Energy Analyst | Electricity | Hydropower Energy,euroclimatejobs
286803,Environmental Due Diligence Project Lead,Engie,"London, United Kingdom",1 day left Posted 42 days ago,"Lead due diligence activities for potential data centre developments across EMEA. This role involves client management, strategic definition, design coordination, and project management during early-stage development and feasibility phases of site",https://www.euroclimatejobs.com/job_display/286803/Environmental_Due_Diligence_Project_Lead_Engie_London_United_Kingdom,Business and Finance | Environment | Hybrid | Project Manager,euroclimatejobs
288613,Principal Consultant/Associate Director - Energy Transition,Anthesis Group,United Kingdom,Posted 1 day ago,"The candidate will be primarily working for the Energy Transition service line, but it will also support the Climate Risk & Resilience and Green House Gas accounting service lines. The Energy Transition service line delivers unique projects that require",https://www.euroclimatejobs.com/job_display/288613/Principal_Consultant_Associate_Director_Energy_Transition_Anthesis_Group_United_Kingdom,Business and Finance | Carbon Capture and Storage | Consultant | Environment,euroclimatejobs
288530,Environment & Sustainability Officer,EUnited - European Engineering Industries Association,"Brussels or Frankfurt, Multiple Countries","Posted 2 days ago
                
                                      
                    Deadline 17 April","Coordinate EUnited’s cross-sector Environmental and Sustainability Committees. Monitor, analyse and provide early warning on EU product-related environmental and sustainability regulations (e.g. substance legislation, waste legislation, ecodesign ...);",https://www.euroclimatejobs.com/job_display/288530/Environment_Sustainability_Officer_EUnited_European_Engineering_Industries_Association_Brussels_or_Frankfurt_Multiple_Countries,Communication/Public Relations | Environment | Government and Associations | Production and Operations,euroclimatejobs
288526,"Project Manager Industrial Transformation and Lead Markets, Europe (f/m/d)",Agora Industry,"Brussels, Belgium","Posted 2 days ago
                
                                      
                    Deadline 6 April","Contributing to research projects on industrial transformation and lead markets in Europe. Preparing policy recommendations on European industrial transformation policies, especially for Lead Markets. Analysing European",https://www.euroclimatejobs.com/job_display/288526/Project_Manager_Industrial_Transformation_and_Lead_Markets_Europe_f_m_d_Agora_Industry_Brussels_Belgium,Business and Finance | Environment | Hybrid | Policy and Regulation,euroclimatejobs
