job_id,title,company,location,posted,summary,job_url,tags,source
288447,Senior Electrical Engineer (Seat Integration),Boeing,"Hamburg, Germany","Posted 3 days ago
                
                                      
                    Deadline 31 March","Work with customers to develop and document complex electronic and electrical system requirements for passenger seats. Define requirements, review and approve qualification data from our suppliers for integration approval of seats into the airframe",https://www.euroengineerjobs.com/job_display/288447/Senior_Electrical_Engineer_Seat_Integration_Boeing_Hamburg_Germany,Aerospace Engineer | Electrical Engineer,euroengineerjobs
288242,Tread Compound Specialist,Bridgestone,"Rome, Italy",Posted 9 days ago,"The candidate will play a key role in the development of new passenger compound development through his/her solid knowledge on Material Science, Chemistry and industrial process technology, covering a wide range of activities from design thinking of",https://www.euroengineerjobs.com/job_display/288242/Tread_Compound_Specialist_Bridgestone_Rome_Italy,Automotive Engineer | Chemical Engineer | Hybrid | Industrial Engineer,euroengineerjobs
287826,Senior Functionality Engineer,Electrolux,"Żarów, Poland",Posted 17 days ago,"Your responsibilities will include the design of appliance functionality by means of test plans definition and execution with a critical, problem-solving approach, and data analysis and reporting, being focused on deadlines. You will work in an",https://www.euroengineerjobs.com/job_display/287826/Senior_Functionality_Engineer_Electrolux_arw_Poland,Chemical Engineer | Electrical Engineer | Mechanical Engineer,euroengineerjobs
287640,Plant Manager,THEON International,"Koropi, Greece",Posted 22 days ago,"Responsible for the overall performance of the manufacturing plant, ensuring efficient, safe, and compliant production operations. This role leads production planning, assembly, quality control, maintenance, machinery and warehouses",https://www.euroengineerjobs.com/job_display/287640/Plant_Manager_THEON_International_Koropi_Greece,Defence Engineer | Industrial Engineer,euroengineerjobs
288657,Senior Electrical Engineer,Wood Group,"Reading, United Kingdom",Posted today,"Assist in the electrical activities of engineering, procurement, and eventual construction (EPC) contractors during the Front-End Engineering Development (FEED) and design phase under the guidance of Principal Engineers and Lead Electrical Engineer.",https://www.euroengineerjobs.com/job_display/288657/Senior_Electrical_Engineer_Wood_Group_Reading_United_Kingdom,Electrical Engineer | Energy Engineer | Hybrid,euroengineerjobs
288639,Lead Engineer - Mechanical Service Engineering,Baker Hughes,"Bari, Italy",Posted today,Performing feasibility study and develop tailored solution for continuous improvement of our fleet trough modifications and upgrade. Feeding inputs to application engineering for their proposals. Technical support to our customer or field rep for site,https://www.euroengineerjobs.com/job_display/288639/Lead_Engineer_Mechanical_Service_Engineering_Baker_Hughes_Bari_Italy,Energy Engineer | Mechanical Engineer,euroengineerjobs
288599,Senior Project Manager,Nordex,"Imarcoain, Spain",Posted 1 day ago,Lead technical projects with the focus on the legacy AW fleet. Monitor and analyse the operational performance of the wind turbines. Investigate reliability metrics and field data to identify risks and improvement potential for the entire turbine system.,https://www.euroengineerjobs.com/job_display/288599/Senior_Project_Manager_Nordex_Imarcoain_Spain,Energy Engineer | Hybrid | Mechanical Engineer | Project Manager,euroengineerjobs
288571,Manufacturing Engineering - Manager,Cummins,"Darlington, United Kingdom",Posted 1 day ago,"Lead and oversee departmental operations including budgeting, resource planning, and project management, ensuring alignment with strategic goals. Drive the selection and implementation of integrated manufacturing equipment and systems that enhance",https://www.euroengineerjobs.com/job_display/288571/Manufacturing_Engineering_Manager_Cummins_Darlington_United_Kingdom,Industrial Engineer,euroengineerjobs
288523,Project Manager,TEKEVER,"Toulouse, France",Posted 2 days ago,He/she coordinates cross-functional teams to ensure seamless integration of advanced technologies and the timely delivery of high-quality solutions or services. He/she manages stakeholders at both technical and strategic levels ensuring compliance with,https://www.euroengineerjobs.com/job_display/288523/Project_Manager_TEKEVER_Toulouse_France,Aerospace Engineer | Defence Engineer | Drone Engineer | Project Manager,euroengineerjobs
288517,Project & Technical Leader,Electrolux,"Żarów, Poland",Posted 2 days ago,"You will drive cross‑functional technical projects across Architecture, Platform, and Module areas. You will lead end‑to‑end project execution - from technical direction to planning, budgeting, and delivery - ensuring that solutions align with",https://www.euroengineerjobs.com/job_display/288517/Project_Technical_Leader_Electrolux_arw_Poland,Electrical Engineer | Hybrid | Mechanical Engineer,euroengineerjobs
