job_url,source,title,company,location,description,seniority,tags,raw_source_file
https://www.euroclimatejobs.com/job_display/287863/Senior_Commercial_Asset_Manager_Renewables_Uniper_Multiple_Locations_Multiple_Countries,euroclimatejobs,(Senior) Commercial Asset Manager Renewables,Uniper,"Multiple Locations, Multiple Countries","Managing key project contracts (e.g., construction contracts, service agreements, leases); oversee vendor and subcontractor agreements, ensuring compliance with agreed terms. Identify, monitor, and mitigate financial and contractual risks in coordination",,Business and Finance | Hybrid | Renewable Energy | Solar Energy,euroclimatejobs_evp.csv
https://www.euroclimatejobs.com/job_display/287233/PPA_Origination_Manager_in_Renewable_Energies_Encavis_Hamburg_or_Neubiberg_Germany,euroclimatejobs,PPA Origination Manager in Renewable Energies,Encavis,"Hamburg or Neubiberg, Germany","You will structure and negotiate long-term PPAs for individual projects or project portfolios from our European pipeline. You will also prepare and coordinate PPA tender processes for projects in our pipeline, as well as handle and prepare offers for",,Business and Finance | Electricity | Hybrid | Renewable Energy,euroclimatejobs_evp.csv
https://www.euroclimatejobs.com/job_display/287042/Senior_Renewable_Energy_Consultant_Veolia_Madrid_Spain,euroclimatejobs,Senior Renewable Energy Consultant,Veolia,"Madrid, Spain","Lead and deliver consulting assignments in renewable energy planning, project evaluation, and strategy development for public and private sector clients; Conduct technical and economic analyses of renewable energy projects and",,Consultant | Renewable Energy,euroclimatejobs_evp.csv
https://www.euroclimatejobs.com/job_display/286867/Head_of_Asset_Management_Green_Power_Alpiq_Group_Multiple_Locations_Europe_Multiple_Countries,euroclimatejobs,"Head of Asset Management, Green Power",Alpiq Group,"Multiple Locations, Europe, Multiple Countries","You will lead a pan European organisation comprising asset managers in the various countries where Alpiq active is (CH, ES, IT, FR, Nordics and new countries with assets under development), covering various assets and technologies Wind, PV, BESS, green",,Business and Finance | Climate and Energy Analyst | Electricity | Hydropower Energy,euroclimatejobs_evp.csv
https://www.euroclimatejobs.com/job_display/288501/Head_Intraday_Algorithmic_Trading_Alpiq_Group_Olten_Switzerland,euroclimatejobs,Head Intraday Algorithmic Trading,Alpiq Group,"Olten, Switzerland","Lead the design, development, and execution of algorithmic trading strategies for day-ahead, intraday, and imbalance markets across CWE and the Nordics; Hold full P&L responsibility for algorithmic trading activities, ensuring alignment with trading",,Climate and Energy Analyst | Trader,euroclimatejobs_evp.csv
https://www.euroclimatejobs.com/job_display/288442/Senior_Biofuels_Trader_OTC_Flow_Amsterdam_Netherlands,euroclimatejobs,Senior Biofuels Trader,OTC Flow,"Amsterdam, Netherlands","You will take ownership of developing and executing a results-driven, over the counter, brokering strategy. You will focus on building a strong client portfolio, managing relationships, and closing high-value deals. This role demands an independent,",,BioEnergy and BioFuel | Carbon Capture and Storage | Renewable Energy | Sales and Marketing,euroclimatejobs_evp.csv
https://www.euroclimatejobs.com/job_display/288313/Senior_Portfolio_Manager_Project_Development_in_Renewable_Energies_Encavis_Hamburg_or_Neubiberg_Germany,euroclimatejobs,Senior Portfolio Manager - Project Development in Renewable Energies,Encavis,"Hamburg or Neubiberg, Germany","You will drive the transition to digital-first systems and scalable processes, ensure the integrity and quality of our development data, and optimise processes for smooth portfolio operations. Using tools such as Sitetracker and our M365 collaboration",,Business and Finance | Hybrid | Project Manager | Renewable Energy,euroclimatejobs_evp.csv
https://www.euroclimatejobs.com/job_display/288193/Head_Climate_Certificates_Dry_Bulk_Trading_Axpo_Baden_Switzerland,euroclimatejobs,Head Climate Certificates & Dry Bulk Trading,Axpo,"Baden, Switzerland","Take proprietary trading positions in emissions allowances, climate certificates, and related fuels, such as coal; Lead and integrate a team of traders and analysts, fostering knowledge transfer; Expand trading activities into new regions (e.g. Asia, US)",,Climate and Energy Analyst | Environment | Hybrid | Trader,euroclimatejobs_evp.csv
https://www.euroclimatejobs.com/job_display/288183/CO_Pipeline_Transport_RT_Project_Lead_TotalEnergies_Stavanger_Norway,euroclimatejobs,CO₂ Pipeline Transport R&T Project Lead,TotalEnergies,"Stavanger, Norway",You will manage research and technology development activities related to CO₂ pipeline transport within the CO₂ Transport & Storage (T&S) program. This strategic position contributes directly to building a full‑chain CCS industry - an essential,,Carbon Capture and Storage | Energy Engineer | Environment | Project Manager,euroclimatejobs_evp.csv
https://www.euroclimatejobs.com/job_display/288046/Senior_Project_Manager_for_Energy_Solutions_Telelink_Infra_Services_Bulgaria,euroclimatejobs,Senior Project Manager for Energy Solutions,Telelink Infra Services,Bulgaria,"You will lead the planning, execution, and delivery of solar energy projects. This role is essential in coordinating with cross-functional teams, managing project timelines, and ensuring adherence to safety and quality standards Maintaining up-to-date",,Project Manager | Renewable Energy | Solar Energy,euroclimatejobs_evp.csv
