job_url,source,title,company,location,description,seniority,tags,raw_source_file
https://rejobs.org/en/renewable-energy-jobs/105718-offshore-service-technician-boston-energy-ltd-netherlands,rejobs,Offshore Service Technician,Boston Energy,The Netherlands,Join Boston Energy as an Offshore Service Technician in the Netherlands.,,Offshore Wind Energy | Blade Maintenance | Turbine Operations | Wind O&M,rejobs_evp.csv
https://rejobs.org/en/renewable-energy-jobs/104097-senior-project-manager-and-energy-expert-africa-trama-tecnoambiental-tta-barcelona-spain,rejobs,Senior Project Manager and Energy Expert - Africa,Trama TecnoAmbiental,"Barcelona, Spain","Join TTA as a Senior Project Manager in Barcelona, Spain, focusing on renewable energy projects in Africa.",,Energy Access | Project Management | Business Development | Feasibility Studies,rejobs_evp.csv
https://rejobs.org/en/renewable-energy-jobs/102427-manager-of-community-energy-planning-and-policy-a-climate-to-thrive-southwest-harbor-maine-united-states,rejobs,Manager of Community Energy Planning and Policy,A Climate to Thrive,"Southwest Harbor, Maine, United States","Join A Climate to Thrive as Manager of Community Energy Planning in Southwest Harbor, Maine. Lead renewable energy projects and policy initiatives while fostering community engagement. Enjoy unlimited paid time off and a supportive work culture.",,Community Energy | Energy Access | Demand Response | Energy Policy | Stakeholder Management,rejobs_evp.csv
https://rejobs.org/en/renewable-energy-jobs/113446-trusted-advisor-stx-group,rejobs,Trusted Advisor,STX Group,"Amsterdam, the Netherlands","Trusted Advisor at STX Group in Amsterdam, leading renewable energy PPAs.",,Corporate Strategy | Energy Policy | Energy Trading | Power Purchase Agreement,rejobs_evp.csv
https://rejobs.org/en/renewable-energy-jobs/113449-manager-vandebron,rejobs,Manager,Vandebron,"Amsterdam, the Netherlands",Manager at Vandebron in Amsterdam driving green energy growth.,,Business Development | Clean Energy Innovation,rejobs_evp.csv
https://rejobs.org/en/renewable-energy-jobs/113396-business-commercial-strategy-nce-vestas-graduate-programme-ingenieurin-erneuerbare-energien-vestas,rejobs,"Business, Commercial & Strategy, NCE - Vestas Graduate Programme (Ingenieur/in - Erneuerbare Energien)",Vestas,"Hamburg, Germany","Join Vestas Graduate Programme in Hamburg, Germany.",,Business Development | Energy Policy | Project Management | Talent Acquisition & Management,rejobs_evp.csv
https://rejobs.org/en/renewable-energy-jobs/113418-projektmanager-klimaschutzprojekte-klimaschutzmanagerin-atmosfair-ggmbh,rejobs,Projektmanager Klimaschutzprojekte (Klimaschutzmanager/in),atmosfair gGmbH,"Berlin, Germany",Project Manager at atmosfair in Berlin driving climate protection projects.,,Climate Adaptation | Community Energy | Energy Access | Energy Justice | Environmental Management | Project Management,rejobs_evp.csv
https://rejobs.org/en/renewable-energy-jobs/113465-sales-consultant-ppa-afs-energy,rejobs,Sales Consultant PPA,AFS Energy,"Amsterdam, the Netherlands",Sales Consultant PPA at AFS Energy in Amsterdam.,,Energy Trading | Market Analysis | Power Purchase Agreement,rejobs_evp.csv
https://rejobs.org/en/renewable-energy-jobs/112661-senior-electrical-engineer-edf-energy,rejobs,Senior Electrical Engineer,EDF Energy,"London, United Kingdom",Senior Electrical Engineer at EDF Energy in London.,,High Voltage | Project Management | Electrical Engineering,rejobs_evp.csv
https://rejobs.org/en/renewable-energy-jobs/113119-director-electrical-engineering-systems-thea-energy,rejobs,Director - Electrical Engineering Systems,Thea Energy,"Kearny, New Jersey, United States","Lead electrical systems at Thea Energy in Kearny, NJ.",,Power Systems | Power Electronics | Electrical Engineering | Engineering Management,rejobs_evp.csv
