job_url,source,title,company,location,description,seniority,tags,raw_source_file,seniority_inferred,expert_role,expert_role_score,expert_role_reason
https://www.euroclimatejobs.com/job_display/287042/Senior_Renewable_Energy_Consultant_Veolia_Madrid_Spain,euroclimatejobs,Senior Renewable Energy Consultant,Veolia,"Madrid, Spain","Lead and deliver consulting assignments in renewable energy planning, project evaluation, and strategy development for public and private sector clients; Conduct technical and economic analyses of renewable energy projects and",SENIOR,Consultant | Renewable Energy,euroclimatejobs_evp.csv,SENIOR,generalist,4,"consultant, strategy"
https://www.euroclimatejobs.com/job_display/288313/Senior_Portfolio_Manager_Project_Development_in_Renewable_Energies_Encavis_Hamburg_or_Neubiberg_Germany,euroclimatejobs,Senior Portfolio Manager - Project Development in Renewable Energies,Encavis,"Hamburg or Neubiberg, Germany","You will drive the transition to digital-first systems and scalable processes, ensure the integrity and quality of our development data, and optimise processes for smooth portfolio operations. Using tools such as Sitetracker and our M365 collaboration",SENIOR,Business and Finance | Hybrid | Project Manager | Renewable Energy,euroclimatejobs_evp.csv,SENIOR,generalist,2,"project manager, transition"
https://www.euroclimatejobs.com/job_display/288046/Senior_Project_Manager_for_Energy_Solutions_Telelink_Infra_Services_Bulgaria,euroclimatejobs,Senior Project Manager for Energy Solutions,Telelink Infra Services,Bulgaria,"You will lead the planning, execution, and delivery of solar energy projects. This role is essential in coordinating with cross-functional teams, managing project timelines, and ensuring adherence to safety and quality standards Maintaining up-to-date",SENIOR,Project Manager | Renewable Energy | Solar Energy,euroclimatejobs_evp.csv,SENIOR,generalist,3,project manager
https://www.euroclimatejobs.com/job_display/288673/Renewables_Development_Lead_Fuse_Energy_London_United_Kingdom,euroclimatejobs,Renewables Development Lead,Fuse Energy,"London, United Kingdom","We are now looking for an incredibly driven and ambitious individual to supercharge and expand our greenfield utility-scale development projects with a specific focus on land acquisition and landowner engagement. The ideal candidate will be an exceptional independent operator willing to work at high intensity as part of our core team. They will have a very strong bias towards action and feel comfortable generating and handling both outbound and inbound leads. They will also drive project development strategy, including site identification and origination, outreach to landowners and feasibility studies.",MID_LEVEL,Business and Finance | Renewable Energy | Sales and Marketing,euroclimatejobs_evp.csv,MID_LEVEL,generalist,1,strategy
https://www.euroclimatejobs.com/job_display/288475/Power_Analyst_MET_Group_Budapest_Hungary,euroclimatejobs,Power Analyst,MET Group,"Budapest, Hungary","We are looking to expand the Analytics team by hiring an experienced Power Analyst, to boost the expanding power markets analytics support and development, while integrating focus on cross-commodity aspects and opportunities.",MID_LEVEL,Business and Finance | Carbon Capture and Storage | Climate and Energy Analyst | Oil and Gas,euroclimatejobs_evp.csv,MID_LEVEL,generalist,4,analyst
https://www.euroclimatejobs.com/job_display/288380/Program_Manager_Solar_PV_Goodman_Vilvoorde_Belgium,euroclimatejobs,Program Manager Solar PV,Goodman,"Vilvoorde, Belgium","The successful candidate will define the annual PV roadmap and budget, manage the project pipeline, provide guidance to country teams, and act as the central escalation point for PV-related matters. The role also includes developing and embedding cross-border best practices, technical standards, and governance frameworks to ensure a consistent, future-proof PV portfolio.",SENIOR,Project Manager | Renewable Energy | Solar Energy,euroclimatejobs_evp.csv,SENIOR,generalist,3,"program manager, project manager"
https://www.euroclimatejobs.com/job_display/288312/Power_Gas_Market_Risk_Analyst_Metlen_nergy_Metals_Athens_Greece,euroclimatejobs,Power & Gas Market Risk Analyst,Metlen Εnergy & Metals,"Athens, Greece","We are seeking a motivated Power & Gas Market Risk Analyst to join our Market Risk/Middle Office team part of our Treasury & Investors Relations General Division, based in Athens. This role works closely with multiple internal stakeholders and plays a key role in ensuring transparency, control, and sound risk management practices.",MID_LEVEL,Business and Finance | Climate and Energy Analyst | Oil and Gas | Trader,euroclimatejobs_evp.csv,MID_LEVEL,generalist,7,"analyst, market"
https://www.euroclimatejobs.com/job_display/287238/Principal_Energy_Consultant_Energy_Advisory_Jacobs_London_United_Kingdom,euroclimatejobs,Principal Energy Consultant - Energy Advisory,Jacobs,"London, United Kingdom","The successful candidate will have a focus on energy management, efficiency and net-zero delivery. Experience of modern/ future energy systems in terms of their technical properties and economic and environmental impacts alongside existing technologies and systems including renewable and low carbon generation and storage technologies. We are seeking strong experience in public, industrial and commercial energy usage, energy savings, utility plant development and emission reductions to support our clients in developing decarbonisation strategies and business case assessment applying energy resources and demands.",MID_LEVEL,Carbon Capture and Storage | Climate and Energy Analyst | Consultant | Environment,euroclimatejobs_evp.csv,MID_LEVEL,generalist,6,"analyst, commercial, consultant, decarbonisation"
https://www.euroclimatejobs.com/job_display/286961/Market_Risk_Manager_Middle_Office_Alpiq_Group_Olten_Switzerland,euroclimatejobs,Market Risk Manager - Middle Office,Alpiq Group,"Olten, Switzerland","To strengthen our Middle Office department, we are looking for a Market Risk Manager with proven professional experience in the energy markets. This position reports directly to the Head of Middle Office Trading and requires initiative, analytical skills and the ability to collaborate across multiple stakeholders. The team of Middle Office Trading is responsible for providing accurate PnL and exposures reporting to the Merchant Trading unit. Additionally, this role will work closely with Alpiq’s Market and Quantitative Risk Management group to ensure compliance with all aspects of reporting standards.",SENIOR,Climate and Energy Analyst | Oil and Gas,euroclimatejobs_evp.csv,MID_LEVEL,generalist,4,"analyst, market"
https://rejobs.org/en/renewable-energy-jobs/113331-sustainability-consultant-rina,rejobs,Sustainability Consultant,RINA,"Genoa, Italy","Sustainability Consultant at RINA in Genoa, Italy.",MID_LEVEL,Biofuels | Green Hydrogen | Net Zero | Power Purchase Agreement,rejobs_evp.csv,MID_LEVEL,generalist,6,"consultant, sustainability"
