job_url,source,title,company,location,description,seniority,tags,raw_source_file,seniority_inferred,expert_role,expert_role_score,expert_role_reason
https://www.euroclimatejobs.com/job_display/287217/Project_Development_Manager_Metlen_nergy_Metals_Milan_Italy,euroclimatejobs,Project Development Manager,Metlen Εnergy & Metals,"Milan, Italy","Secure land rights: Manage the process of securing land rights for wind, PV, and BESS projects to allow for planning, permitting, construction, operation, and maintenance.  Provide assistance to the Head of Development Manager in the management in due",EXECUTIVE,Business and Finance | Environment | Project Manager | Renewable Energy,euroclimatejobs_evp.csv,SENIOR,normative,1,permitting
https://www.euroclimatejobs.com/job_display/288553/Quality_Manager_BESS_Energy_Products_EMEA_Tesla_Amsterdam_Netherlands,euroclimatejobs,Quality Manager BESS - Energy Products EMEA,Tesla,"Amsterdam, Netherlands","As a Quality Engineer for Tesla Energy Products EMEA, you’ll ensure our Megapack installations meet the highest standards of reliability, safety, and compliance, from large utility scale projects in the UK to solar co-located projects in Southern Europe.",SENIOR,Energy Engineer | Renewable Energy | Solar Energy,euroclimatejobs_evp.csv,SENIOR,normative,2,"compliance, standards"
https://www.euroclimatejobs.com/job_display/287160/Senior_Expert_Energy_Solutions_Telelink_Infra_Services_Bulgaria,euroclimatejobs,"Senior Expert, Energy Solutions",Telelink Infra Services,Bulgaria,"The Senior Expert, Energy Solutions is responsible for the development, management, and implementation of advanced technological and infrastructure solutions in the fields of renewable energy, energy efficiency, and smart grids. This role ensures the successful execution of energy projects—on time, within budget, and in accordance with safety and quality standards. The position also involves leadership and coordination of Site Managers and technical teams to achieve optimal project delivery.",SENIOR,Energy Engineer | Renewable Energy | Solar Energy,euroclimatejobs_evp.csv,SENIOR,normative,1,standards
https://rejobs.org/en/renewable-energy-jobs/102427-manager-of-community-energy-planning-and-policy-a-climate-to-thrive-southwest-harbor-maine-united-states,rejobs,Manager of Community Energy Planning and Policy,A Climate to Thrive,"Southwest Harbor, Maine, United States","Join A Climate to Thrive as Manager of Community Energy Planning in Southwest Harbor, Maine. Lead renewable energy projects and policy initiatives while fostering community engagement. Enjoy unlimited paid time off and a supportive work culture.",EXECUTIVE,Community Energy | Energy Access | Demand Response | Energy Policy | Stakeholder Management,rejobs_evp.csv,MID_LEVEL,normative,5,"community engagement, policy"
https://rejobs.org/en/renewable-energy-jobs/113418-projektmanager-klimaschutzprojekte-klimaschutzmanagerin-atmosfair-ggmbh,rejobs,Projektmanager Klimaschutzprojekte (Klimaschutzmanager/in),atmosfair gGmbH,"Berlin, Germany",Project Manager at atmosfair in Berlin driving climate protection projects.,SENIOR,Climate Adaptation | Community Energy | Energy Access | Energy Justice | Environmental Management | Project Management,rejobs_evp.csv,SENIOR,normative,1,justice
https://rejobs.org/en/renewable-energy-jobs/112897-marketing-manager-12-months-fixed-term-contract-ovo-energy,rejobs,Marketing Manager (12 Months Fixed Term Contract),OVO Energy,"Glasgow, Scotland, United Kingdom",Marketing Manager at OVO Energy in the UK.,SENIOR,Marketing and Communications | Clean Energy Innovation | Community Energy | Energy Policy,rejobs_evp.csv,SENIOR,normative,1,policy
https://rejobs.org/en/renewable-energy-jobs/112667-land-assistant-scottish-power,rejobs,Land Assistant,Scottish Power,"Cambuslang, United Kingdom","Land Assistant at ScottishPower in Cambuslang, UK.",ENTRY_JUNIOR,Land Management | Energy Governance | Environmental Impact Assessment | Stakeholder Management,rejobs_evp.csv,ENTRY_JUNIOR,normative,1,governance
https://rejobs.org/en/renewable-energy-jobs/113094-associate-ox2,rejobs,Associate,OX2,"Warsaw, Poland",Join OX2 in Warsaw as a Transaction Associate in renewable energy.,MID_LEVEL,Energy Due Diligence | Energy Policy | Project Finance | Stakeholder Management,rejobs_evp.csv,MID_LEVEL,normative,1,policy
https://rejobs.org/en/renewable-energy-jobs/112601-senior-counsel-avangrid,rejobs,Senior Counsel,AVANGRID,"Boston, Massachusetts, United States","Senior Counsel at Avangrid in Boston, MA, advising on renewable energy projects.",SENIOR,Regulatory Compliance | Power Purchase Agreement | Environmental Management | Energy Policy,rejobs_evp.csv,SENIOR,normative,3,"compliance, policy, regulatory"
https://rejobs.org/en/renewable-energy-jobs/113033-lead-financial-accountant-snowy-hydro-limited,rejobs,Lead Financial Accountant,Snowy Hydro Limited,"Sydney, Australia","Lead Financial Accountant at Snowy Hydro in Sydney, hybrid role.",SENIOR,Accounting & Finance | Energy Asset Valuation | Energy Economics | Energy Policy,rejobs_evp.csv,SENIOR,normative,1,policy
