role_key,track,level,file_a,run_a,file_b,run_b,cosine_similarity
generalist-midlevel,generalist,midlevel,final-generalist-midlevel-run1.md,run1,final-generalist-midlevel-run2.md,run2,0.90905356
generalist-midlevel,generalist,midlevel,final-generalist-midlevel-run1.md,run1,final-generalist-midlevel-run3.md,run3,0.92605430
generalist-midlevel,generalist,midlevel,final-generalist-midlevel-run2.md,run2,final-generalist-midlevel-run3.md,run3,0.93809466
generalist-senior,generalist,senior,final-generalist-senior-run1.md,run1,final-generalist-senior-run2.md,run2,0.93729668
generalist-senior,generalist,senior,final-generalist-senior-run1.md,run1,final-generalist-senior-run3.md,run3,0.95604899
generalist-senior,generalist,senior,final-generalist-senior-run2.md,run2,final-generalist-senior-run3.md,run3,0.92416052
normative-midlevel,normative,midlevel,final-normative-midlevel-run1.md,run1,final-normative-midlevel-run2.md,run2,0.94398706
normative-midlevel,normative,midlevel,final-normative-midlevel-run1.md,run1,final-normative-midlevel-run3.md,run3,0.89473545
normative-midlevel,normative,midlevel,final-normative-midlevel-run2.md,run2,final-normative-midlevel-run3.md,run3,0.90007920
normative-senior,normative,senior,final-normative-senior-run1.md,run1,final-normative-senior-run2.md,run2,0.91002413
normative-senior,normative,senior,final-normative-senior-run1.md,run1,final-normative-senior-run3.md,run3,0.92099754
normative-senior,normative,senior,final-normative-senior-run2.md,run2,final-normative-senior-run3.md,run3,0.95127135
sme-midlevel,sme,midlevel,final-sme-midlevel-run1.md,run1,final-sme-midlevel-run2.md,run2,0.87653176
sme-midlevel,sme,midlevel,final-sme-midlevel-run1.md,run1,final-sme-midlevel-run3.md,run3,0.94020683
sme-midlevel,sme,midlevel,final-sme-midlevel-run2.md,run2,final-sme-midlevel-run3.md,run3,0.94764545
sme-senior,sme,senior,final-sme-senior-run1.md,run1,final-sme-senior-run2.md,run2,0.87748212
sme-senior,sme,senior,final-sme-senior-run1.md,run1,final-sme-senior-run3.md,run3,0.85519659
sme-senior,sme,senior,final-sme-senior-run2.md,run2,final-sme-senior-run3.md,run3,0.84851011
